sk_date,full_date,year_month,year_quarter,month_sort_key,day_num,day_name,week_num,month_num,month_name,quarter_num,semester_num,year_num,is_weekend,is_holiday,country_code
134,2024-05-13,2024-05,2024-Q2,202405,13,Monday,20,5,May,2,1,2024,0,0,FR
135,2024-05-14,2024-05,2024-Q2,202405,14,Tuesday,20,5,May,2,1,2024,0,0,FR
136,2024-05-15,2024-05,2024-Q2,202405,15,Wednesday,20,5,May,2,1,2024,0,0,FR
137,2024-05-16,2024-05,2024-Q2,202405,16,Thursday,20,5,May,2,1,2024,0,0,FR
138,2024-05-17,2024-05,2024-Q2,202405,17,Friday,20,5,May,2,1,2024,0,0,FR
139,2024-05-18,2024-05,2024-Q2,202405,18,Saturday,20,5,May,2,1,2024,1,0,FR
140,2024-05-19,2024-05,2024-Q2,202405,19,Sunday,20,5,May,2,1,2024,1,0,FR
141,2024-05-20,2024-05,2024-Q2,202405,20,Monday,21,5,May,2,1,2024,0,1,FR
142,2024-05-21,2024-05,2024-Q2,202405,21,Tuesday,21,5,May,2,1,2024,0,0,FR
143,2024-05-22,2024-05,2024-Q2,202405,22,Wednesday,21,5,May,2,1,2024,0,0,FR
144,2024-05-23,2024-05,2024-Q2,202405,23,Thursday,21,5,May,2,1,2024,0,0,FR
145,2024-05-24,2024-05,2024-Q2,202405,24,Friday,21,5,May,2,1,2024,0,0,FR
146,2024-05-25,2024-05,2024-Q2,202405,25,Saturday,21,5,May,2,1,2024,1,0,FR
147,2024-05-26,2024-05,2024-Q2,202405,26,Sunday,21,5,May,2,1,2024,1,0,FR
148,2024-05-27,2024-05,2024-Q2,202405,27,Monday,22,5,May,2,1,2024,0,0,FR
149,2024-05-28,2024-05,2024-Q2,202405,28,Tuesday,22,5,May,2,1,2024,0,0,FR
150,2024-05-29,2024-05,2024-Q2,202405,29,Wednesday,22,5,May,2,1,2024,0,0,FR
151,2024-05-30,2024-05,2024-Q2,202405,30,Thursday,22,5,May,2,1,2024,0,0,FR
152,2024-05-31,2024-05,2024-Q2,202405,31,Friday,22,5,May,2,1,2024,0,0,FR
153,2024-06-01,2024-06,2024-Q2,202406,1,Saturday,22,6,June,2,1,2024,1,0,FR
154,2024-06-02,2024-06,2024-Q2,202406,2,Sunday,22,6,June,2,1,2024,1,0,FR
155,2024-06-03,2024-06,2024-Q2,202406,3,Monday,23,6,June,2,1,2024,0,0,FR
156,2024-06-04,2024-06,2024-Q2,202406,4,Tuesday,23,6,June,2,1,2024,0,0,FR
157,2024-06-05,2024-06,2024-Q2,202406,5,Wednesday,23,6,June,2,1,2024,0,0,FR
158,2024-06-06,2024-06,2024-Q2,202406,6,Thursday,23,6,June,2,1,2024,0,0,FR
159,2024-06-07,2024-06,2024-Q2,202406,7,Friday,23,6,June,2,1,2024,0,0,FR
160,2024-06-08,2024-06,2024-Q2,202406,8,Saturday,23,6,June,2,1,2024,1,0,FR
161,2024-06-09,2024-06,2024-Q2,202406,9,Sunday,23,6,June,2,1,2024,1,0,FR
162,2024-06-10,2024-06,2024-Q2,202406,10,Monday,24,6,June,2,1,2024,0,0,FR
163,2024-06-11,2024-06,2024-Q2,202406,11,Tuesday,24,6,June,2,1,2024,0,0,FR
